ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.012564356,0.000998868,0.011752682
0.185002158,0.039145661,0.173050775
0.382305414,0.083891725,0.357607981
0.523355156,0.109882397,0.489545724
0.614409105,0.141374507,0.574717467
0.661683658,0.148939398,0.618938022
0.645839902,0.150165106,0.604117794
0.598093555,0.130714741,0.559455924
0.493893449,0.105143884,0.461987282
0.333555116,0.058468566,0.312007016
0.125171474,0.031433492,0.117085232
0.000343558,0.000392553,0.000321364
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.008075481,0.001383554,0.007553794
0.106303613,0.091526322,0.09943626
0.212417039,0.169107177,0.198694618
0.316245087,0.276395519,0.295815238
0.395505477,0.33137844,0.369955303
0.417357067,0.409340338,0.390395251
0.36015759,0.393417013,0.336890936
0.318268951,0.338722202,0.297708358
0.233480066,0.257709888,0.218396947
0.157716218,0.186903157,0.147527543
0.062662917,0.08386349,0.05861481
0.00042425,0.000545212,0.000396843
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.014451412,0.003071626,0.013517831
0.195945948,0.173413448,0.183287582
0.422008175,0.409924421,0.394745891
0.560203733,0.582824883,0.524013834
0.669925032,0.70163218,0.626646993
0.711585184,0.77304858,0.665615844
0.709192289,0.791871082,0.663377533
0.639401125,0.711754528,0.59809497
0.527480674,0.605787869,0.493404728
0.35648815,0.436463994,0.333458546
0.153939591,0.218575945,0.143994891
0.003362328,0.006778479,0.003145117
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.013590897,0.001557094,0.012712908
0.210052535,0.11660582,0.196482864
0.465705763,0.299452095,0.435620557
0.633643899,0.42727859,0.592709669
0.741694189,0.572430942,0.693779768
0.784878564,0.664253787,0.734174375
0.772650262,0.671371309,0.722736037
0.705318003,0.618349574,0.659753531
0.587481869,0.509414528,0.549529766
